UNNO;EMS
4;F-B, S-Y
5;F-B, S-X
6;F-B, S-X
7;F-B, S-X
9;F-B, S-X
10;F-B, S-X
12;F-B, S-X
14;F-B, S-X
15;F-B, S-X
16;F-B, S-X
18;F-B, S-Z
19;F-B, S-Z
20;F-B, S-Z
21;F-B, S-Z
27;F-B, S-Y
28;F-B, S-Y
29;F-B, S-X
30;F-B, S-X
33;F-B, S-X
34;F-B, S-X
35;F-B, S-X
37;F-B, S-X
38;F-B, S-X
39;F-B, S-X
42;F-B, S-X
43;F-B, S-X
44;F-B, S-X
48;F-B, S-X
49;F-B, S-X
50;F-B, S-X
54;F-B, S-X
55;F-B, S-X
56;F-B, S-X
59;F-B, S-X
60;F-B, S-X
65;F-B, S-X
66;F-B, S-X
70;F-B, S-X
72;F-B, S-Y
73;F-B, S-X
74;F-B, S-Y
75;F-B, S-Y
76;F-B, S-Z
77;F-B, S-Z
78;F-B, S-Y
79;F-B, S-Y
81;F-B, S-Y
82;F-B, S-Y
83;F-B, S-Y
84;F-B, S-Y
92;F-B, S-X
93;F-B, S-X
94;F-B, S-Y
99;F-B, S-X
101;F-B, S-X
102;F-B, S-X
103;F-B, S-X
104;F-B, S-X
105;F-B, S-X
106;F-B, S-X
107;F-B, S-X
110;F-B, S-X
113;F-B, S-Y
114;F-B, S-Y
118;F-B, S-Y
121;F-B, S-X
124;F-B, S-X
129;F-B, S-Y
130;F-B, S-Y
131;F-B, S-X
132;F-B, S-Y
133;F-B, S-Y
135;F-B, S-Y
136;F-B, S-X
137;F-B, S-X
138;F-B, S-X
143;F-B, S-Z
144;F-B, S-Y
146;F-B, S-Y
147;F-B, S-Y
150;F-B, S-Y
151;F-B, S-Y
153;F-B, S-Y
154;F-B, S-Y
155;F-B, S-Y
159;F-B, S-Y
160;F-B, S-Y
161;F-B, S-Y
167;F-B, S-X
168;F-B, S-X
169;F-B, S-X
171;F-B, S-X
173;F-B, S-X
174;F-B, S-X
180;F-B, S-X
181;F-B, S-X
182;F-B, S-X
183;F-B, S-X
186;F-B, S-X
190;F-B, S-X
191;F-B, S-X
192;F-B, S-X
193;F-B, S-X
194;F-B, S-X
195;F-B, S-X
196;F-B, S-X
197;F-B, S-X
204;F-B, S-X
207;F-B, S-Y
208;F-B, S-Y
209;F-B, S-Y
212;F-B, S-X
213;F-B, S-Y
214;F-B, S-Y
215;F-B, S-Y
216;F-B, S-Y
217;F-B, S-Y
218;F-B, S-Y
219;F-B, S-Y
220;F-B, S-Y
221;F-B, S-X
222;F-B, S-Y
224;F-B, S-Z
225;F-B, S-X
226;F-B, S-Y
234;F-B, S-Z
235;F-B, S-Y
236;F-B, S-Y
237;F-B, S-X
238;F-B, S-X
240;F-B, S-X
241;F-B, S-X
