UNNR;PROPER SHIPPING NAME;HAZARD CLASS;PG
4;AMMONIUM PICRATE, DRY OR WETTED WITH LESS THAN 10 PERCENT WATER, BY MASS;1.1D;II
5;CARTRIDGES FOR WEAPONS, WITH BURSTING CHARGE;1.1F;II
6;CARTRIDGES FOR WEAPONS, WITH BURSTING CHARGE;1.1E;II
7;CARTRIDGES FOR WEAPONS, WITH BURSTING CHARGE;1.2F;II
9;AMMUNITION, INCENDIARY WITH OR WITHOUT BURSTER, EXPELLING CHARGE, OR PROPELLING CHARGE;1.2G;II
10;AMMUNITION, INCENDIARY WITH OR WITHOUT BURSTER, EXPELLING CHARGE, OR PROPELLING CHARGE;1.3G;II
12;CARTRIDGES FOR WEAPONS, INERT PROJECTILE OR CARTRIDGES, SMALL ARMS;1.4S;II
14;CARTRIDGES FOR WEAPONS, BLANK OR CARTRIDGES, SMALL ARMS, BLANK OR CARTRIDGES FOR TOOLS, BLANK.;1.4S;II
14;CARTRIDGES FOR WEAPONS, BLANK OR CARTRIDGES, SMALL ARMS, BLANK OR CARTRIDGES FOR TOOLS, BLANK.;1.4S;II
15;AMMUNITION, SMOKE WITH OR WITHOUT BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.2G;II
16;AMMUNITION, SMOKE WITH OR WITHOUT BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.3G;II
18;AMMUNITION, TEAR-PRODUCING WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.2G;II
19;AMMUNITION, TEAR-PRODUCING WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.3G;II
20;AMMUNITION, TOXIC WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.2K;II
21;AMMUNITION, TOXIC WITH BURSTER, EXPELLING CHARGE OR PROPELLING CHARGE;1.3K;II
27;BLACK POWDER FOR SMALL ARMS;4.1;I
27;BLACK POWDER OR GUNPOWDER, GRANULAR OR AS A MEAL;1.1D;II
28;BLACK POWDER, COMPRESSED OR GUNPOWDER, COMPRESSED OR BLACK POWDER, IN PELLETS OR GUNPOWDER, IN PELLETS;1.1D;II
29;DETONATORS, NON-ELECTRIC, FOR BLASTING;1.1B;II
30;DETONATORS, ELECTRIC, FOR BLASTING.;1.1B;II
33;BOMBS, WITH BURSTING CHARGE;1.1F;II
34;BOMBS, WITH BURSTING CHARGE;1.1D;II
35;BOMBS, WITH BURSTING CHARGE;1.2D;II
37;BOMBS, PHOTO-FLASH;1.1F;II
38;BOMBS, PHOTO-FLASH;1.1D;II
39;BOMBS, PHOTO-FLASH;1.2G;II
42;BOOSTERS, WITHOUT DETONATOR;1.1D;II
43;BURSTERS, EXPLOSIVE;1.1D;II
44;PRIMERS, CAP TYPE;1.4S;II
48;CHARGES, DEMOLITION;1.1D;II
49;CARTRIDGES, FLASH;1.1G;II
50;CARTRIDGES, FLASH;1.3G;II
