OCEAN VESSEL;CALL SIGN
A LA MARINE;VRFG7
AASHEIM 1;LAEN6
ABIDJAN EXPRESS;9HA3946
ABIDJAN EXPRESS ;WDD6038
ABU DHABI;A6OG
ACHIEVER;ZDHJ3
ADAMASTOS;D5OA4
ADDI L;P3UR6
ADELAIDE EXPRESS;DHSN
ADELE C;V2OY3
ADLEHEID-S.;V2CD6
AEGIALI;A8AM6
AFIF;V7HM4
AL BAHIA;D5MD8
AL DAHNA;9HA3724
AL DHAIL;V7HL8
AL HILAL;D5IJ4
AL JASRAH;JNYU
AL JMELIYAH;V7HM5
AL KHARJ;D5ME2
AL MANAMAH;A9HW
AL MASHRAB;V7HL9
AL MURABBA;V7HK9
AL MURAYKH;9HA3725
AL NASRIYAH;V7HL7
AL NEFUD;9HA3723
AL QIBLA;9KEW
AL RAWDAH;V7VM8
AL SAFAT;D5MD9
AL ZUBARA;9HA3726
ALEXANDRA;V7ZT8
ALEXANDRIA;V7GO9
ALINDA;PCXJ
ALLISE P;A8JE7
ALNOOF;A7EC
ALRIYADH;6AGC
ALULA;9HA2952
AMANDA D;CQEW
AMSTELDIJK;P3ZH9
ANAFI;VQUS2
ANDAMAN SEA;9HAB8
ANDANTE;CQBQ
ANDREA;ZDIS8
ANGELA J;V2PF2
ANGERMANLAND;ZQVN7
ANITA B;T2GH
ANJA;V2OK7
ANL ESPRIT;DGZK
ANL GEORGIA;DHKW
ANL WENDOUREE;3FIC6
ANL WOOMERA;A8HN7
ANL WYONG;9HA5013
ANNA GABRIELE;OEMH
ANNA SCHULTE;ELYY5
ANNA SOPHIE DEDE;V2OC6
ANNA T;D6CT7
ANNABELLA;MPJG8
ANNA-G;V2BD5
ANNE;V2IJ
ANNE-S;PDGU
ANNETTE;V2OM4
ANTON SCHULTE;9HA2107
ANTWERP EXPRESS;DJCE2
APL AGATE ;D6IK6
APL ATLANTA;ZDKX3
APL AUSTRALIA;A8FS8
APL AUSTRIA;A8NC5
APL BELGIUM;9VKQ3
APL BRAZIL;C6TL7
APL CALIFORNIA;3FVI3
APL CHANGI;S6LT7
APL CHANGI ;S6LT7
APL CHARLESTON;9V9923
APL CHONGQING;9V9373
APL COLUMBUS;9V9920
APL DANUBE;9HA3553
APL DENMARK;A8JX9
APL DENVER;ZDKX4
APL DETROIT;9V9925
APL EGYPT;A8BZ6
APL FINLAND;3ESS2
APL FLORIDA;3ETR
APL FULLERTON; S6NQ
APL GARNET;9VVN
APL GERMANY;A8DS4
APL GERNET;V7ZV9
APL GWANGYANG;9V9374
APL HOLLAND;9VKQ2
APL HONG KONG;A8AM6
APL IRELAND;A8BK6
APL ITALY;A8GK6
APL JADE;9VVD
APL LE HAVRE;9V9375
APL LION CITY;S6LT6
APL LONDON;2ANQ9
APL MALAYSIA;A8CB4
APL MANILA;A8SZ7
APL MERILON;9V9924
APL MERLION;S6NV
APL MIAMI;9V9922
APL MIAMI ;9V9922
APL MINNESOTA;A8NM5
APL NEW JERSEY;A8NM6
APL NEW YORK;9V9916
APL NORWAY;A8NC4
APL OMAN;9VMJ4
APL OREGON;3FCE8
APL PARIS;9V9403
APL PHOENIX;9V9918
APL POLAND;C6WX5
APL QATAR;9VMJ5
APL RAFFLES;9V5388
APL RIYADH;A8TX9
APL ROTTERDAM;VREH4
APL RUSSIA;C6XF2
APL SAVANNAH;9V9919
APL SENTOSA;S6LT5
APL SHANGHAI;A8SN5
APL SINGAPURA;S6LT3
APL SINGAPURA ;S6LT3
APL SPAIN;A8EH8
APL SPINEL;9VVK
APL TEMASEK;S6LT9
APL TURKEY;A8TR2
APL VANDA;S6LT8
APL WASHINGTON;VRFD6
APL ZEEBRUGGE;3FRZ3
ARA ZEEBRUGGE;C4AX2
ARCHIMIDIS;F5CN5
ARICA;A80A2
ARIEL S;V3YM5
ARIES J;5BDS3
ARINA;LYRY
AROSITA;SMXT
ARTUS;V2PO3
AS CARELIA;CQIX2
AS CYPRIA;A8UY4
AS MORGANA;A8VD6
AS PALINA;A8JS6
AS PAULINA;CQIV2
ASIATIC GLORY;9V3924
ASIR;HZZQ
ASTRID SCHULTE;9HA2040
ATACAMA;CB2217
ATAIR J;MERY9
ATHENIA;D5NV8
ATHENIAN;D5NV8
ATHOS;D5NX2
ATLANTIC COMET;C4BP2
ATLANTIC CONVEYOR;SKCM
ATLANTIC LADY;ATLD
ATLANTIC SAIL;2JCC5
ATLANTIC SEA;2JHW9
ATLANTIC SKY;2JHW9
ATLANTIC STAR;2ITA4
ATLANTIC SUN;MAEK8
AUKSE;LYJG
AURA;P3AJ8
AURORA;P3QH9
AUSTRAL;A8PX6
BALCHIK;LZDG
BALTHASAR SCHULTE;A8XR8
BALTIC FJORD;LLSR
BALTIC FULMAR;5BSL4
BALTIC SEA;C4FR2
BALTIC SHEARWATER;5BSD4
BALTIC TERN;GJTC
BALTIC WIND;OYWK2
BALTIK BETINA;9HDW6
BANGKOK EXPRESS;DCPY2
BARBARA;V2OI6
BARBAROSSA;ZDFA4
BARTEN;V2FE
BARZAN;9HA3727
BASLE EXPRESS;DFGN2
BAUMWALL;ZDEJ9
BELLA SCHULTE;A8XR6
BERIT;MJQS8
BERLIN BRIDGE;VRIM5
BERLIN EXPRESS;DGHX
BERNHARD SCHULTE;VRGA3
BG ROTTERDAM;V2DA3
BILBAO BRIDGE;VRHY6
BIRGIT;PDDF
BJORG;V2PW8
BODO SCHULTE;A8XR7
BOMAR CALAIS;CQEG
BOMAR RESILIENT;P3JG9
BOMAR VANQUISH;D5PX5
BORELLY;MXQS5
